240806585,03/05/2024 12:00:00 AM,03/05/2024 12:00:00 AM,2030,08,West LA,0842,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,46,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,341,,,,11700    WILSHIRE                     BL,,34.0495,-118.4609
241407043,01/20/2024 12:00:00 AM,01/19/2024 12:00:00 AM,1900,14,Pacific,1483,1,330,BURGLARY FROM VEHICLE,1307 0344 1609,61,M,X,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,8100    REDLANDS                     ST,,33.9571,-118.4361
242006155,02/20/2024 12:00:00 AM,02/20/2024 12:00:00 AM,1830,20,Olympic,2062,1,210,ROBBERY,0344 0444 0319 0216 0325 0342 0945 1822 0213,0,X,X,404,DEPARTMENT STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,3100 W  PICO                         BL,,34.0506,-118.3127
241207403,02/26/2024 12:00:00 AM,02/26/2024 12:00:00 AM,2010,12,77th Street,1263,2,624,BATTERY - SIMPLE ASSAULT,0555 0913 0602 0400 0416 0419,22,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1800 W  84TH                         ST,,33.9627,-118.309
241804788,01/17/2024 12:00:00 AM,01/09/2024 12:00:00 AM,1121,18,Southeast,1826,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0342 0344 0325 1822 0216,0,X,X,403,DRUG STORE,,,IC,Invest Cont,442,,,,1600 E  103RD                        ST,,33.9485,-118.2461
240304947,01/18/2024 12:00:00 AM,01/15/2024 12:00:00 AM,0522,03,Southwest,0375,1,320,"BURGLARY, ATTEMPTED",1822 0329 1601 1607 1309 0342 0216 0209 0206,23,X,X,403,DRUG STORE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,320,,,,3700 S  WESTERN                      AV,,34.0146,-118.313
240306231,02/11/2024 12:00:00 AM,02/11/2024 12:00:00 AM,2025,03,Southwest,0305,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0416 0446 0913 0443,47,F,H,101,STREET,511,VERBAL THREAT,IC,Invest Cont,930,,,,2500 S  PALM GROVE                   AV,,34.0333,-118.3449
240404020,01/01/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1355,04,Hollenbeck,0478,2,624,BATTERY - SIMPLE ASSAULT,2004 1822 0400 1501,30,M,H,121,YARD (RESIDENTIAL/BUSINESS),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S  GRANDE VISTA                 AV,,34.0323,-118.2022
240206741,02/23/2024 12:00:00 AM,02/21/2024 12:00:00 AM,1800,02,Rampart,0215,1,480,BIKE - STOLEN,1822 0344,74,M,O,104,DRIVEWAY,,,IC,Invest Cont,480,,,,400 N  BENTON                       WY,,34.0739,-118.275
241206127,02/04/2024 12:00:00 AM,02/04/2024 12:00:00 AM,1530,12,77th Street,1273,1,520,VEHICLE - ATTEMPT STOLEN,0342 1300 0329 1822,46,F,B,101,STREET,,,IC,Invest Cont,520,,,,WESTERN                      AV,89TH                         ST,33.9563,-118.309
240107180,02/03/2024 12:00:00 AM,02/02/2024 12:00:00 AM,2200,01,Central,0111,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,74,F,C,116,OTHER/OUTSIDE,,,IC,Invest Cont,740,,,,800 N  BUNKER HILL                  AV,,34.0637,-118.244
241207055,02/20/2024 12:00:00 AM,01/01/2024 12:00:00 AM,1915,12,77th Street,1248,2,354,THEFT OF IDENTITY,0929 0935 0100 1822,18,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,900 W  62ND                         ST,,33.9837,-118.2893
240106767,02/08/2024 12:00:00 AM,02/07/2024 12:00:00 AM,0840,01,Central,0111,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,500 N  BROADWAY,,34.058,-118.241
